title,start_date,end_date,status,dropped_episode,other
CLANNAD ～AFTER STORY～,21/1/6,21/1/20,complete,,
100万の命の上に俺は立っている,21/1/6,21/1/11,complete,,
ジョゼと虎と魚たち,21/1/7,21/1/7,complete,,
ID: INVADED,21/1/11,,drop,4
Dr.STONE STONE WARS,21/1/16,21/4/1,complete,,
小林さんちのメイドラゴン,21/1/12,21/1/24,complete,,
銀魂 THE FINAL,21/1/15,21/1/15,complete,,
ワールドトリガー,21/1/20,21/4/8,complete,,
Re:ゼロから始める異世界生活 2nd season後半,21/1/20,21/4/9,drop,7
ゆるキャン△SEASON2,21/1/24,21/4/7,complete,,
のんのんびより 1期,21/1/25,21/2/4,complete,,
のんのんびよりりぴーと,21/2/4,21/2/16,complete,,
プリンセスプリンシパル Crown Handler,21/2/11,21/2/11,complete,,
劇場版のんのんびより ばけーしょん,21/2/16,21/2/17,complete,,
のんのんびより　のんすとっぷ,21/2/18,21/4/6,complete,,
中二病でも恋がしたい！,21/2/22,21/3/21,complete,,
からかい上手の高木さん,21/2/25,21/3/2,complete,,
からかい上手の高木さん2,21/3/2,21/3/8,complete,,
バキ part1,21/3/8,21/3/11,complete,,
バキ part2,21/3/11,21/3/14,complete,,
バキ　大擂台賽編,21/3/14,21/3/17,complete,,
LOST SONG,21/3/17,21/3/20,complete,,
五等分の花嫁			(Rewatch),21/3/21,21/3/26,complete,,
小鳥遊六花・改 劇場版 中二病でも恋がしたい！,21/3/27,21/3/27,complete,,
中二病でも恋がしたい！戀,21/3/28,21/4/7,complete,,
五等分の花嫁∬,21/4/8,21/4/13,complete,,
ワールドトリガー　2nd season,21/4/8,21/4/12,complete,,
ウマ娘 プリティーダービー,21/4/12,21/5/1,complete,,
転生したらスライムだった件 第2期,21/4/13,21/4/15,complete,,
ワンダーエッグプライオリティ,21/4/13,,drop,1
憂国のモリアーティ(1期),21/4/14,21/4/17,complete,,
転生したらスライムだった件　転スラ日記,21/4/16,21/4/23,drop,2
呪術廻戦,21/4/16,21/4/24,complete,,
憂国のモリアーティ(2期),21/4/17,21/7/5,complete,,
無職転生 〜異世界行ったら本気だす〜	21/4/19 ~,21/4/23,21/4/23,complete,,
シドニアの騎士				21/4/23 ~,21/4/30,21/4/30,complete,,
リトルバスターズ！,21/4/24,21/4/24,drop,3
シドニアの騎士　第九惑星戦役		21/4/30 ~,21/5/7,21/5/7,complete,,
ウマ娘 プリティーダービー Season 2	21/5/2 ~,21/5/8,21/5/8,complete,,
少女 歌劇 レヴュースタァライト,21/5/8,,drop,2
vivy,21/5/8,21/6/26,complete,,
ひぐらしのなく頃に,21/5/8,,suspend,18
映像研には手を出すな！,21/5/11,21/5/15,complete,,
新世界より					21/5/15 ~,21/5/25,21/5/25,complete,,
慎重勇者 〜この勇者が俺TUEEEくせに慎重すぎる〜 21/5/17 ~,21/5/20,21/5/20,complete,,
旦那が何を言っているかわからない件,21/5/22,21/5/23,complete,,
旦那が何を言っているかわからない件 2スレ目,21/5/23,21/5/24,complete,,
ゾンビランドサガ,21/5/25,21/6/3,complete,,
ゾンビランドサガリベンジ,21/6/3,21/6/24,complete,,
とある科学の超電磁砲S,21/5/26,21/6/5,complete,,
シドニアの騎士　あいつむぐほし,21/6/4,21/6/4,complete,,
ひげを剃る。そして女子高生を拾う。,21/6/5,21/7/4,complete,,
とある科学の超電磁砲T,21/6/6,21/6/17,complete,,
東京リベンジャーズ,21/6/11,21/9/24,complete,,
不滅のあなたへ,21/6/16,21/9/5,complete,,
極主夫道,21/6/17,,drop,1
終末のワルキューレ,21/6/18,,drop,2
ゴジラ S.P ＜シンギュラポイント＞,21/6/18,21/6/24,complete,,
シドニアの騎士　あいつむぐほし(rewatch),21/6/24,21/6/24,complete,,
イジらないで、長瀞さん,21/6/25,21/7/5,complete,,
攻殻機動隊 Ghost in the shell,21/6/27,21/6/27,complete,,
とらドラ！,21/6/27,21/7/13,complete,,
シャドーハウス,21/7/6,21/7/13,complete,,
現実主義勇者の王国再建記,21/7/6,21/10/2,complete,,
輪るピングドラム,21/7/13,,stop,1
戦闘員、派遣します！,21/7/13,,stop,1
ラーメン大好き小泉さん,21/7/14,21/7/19,complete,,
這いよれ！ニャル子さん,21/7/15,21/7/30,complete,,
ULTRAMAN,21/7/15,21/7/21,complete,,
NEW GAME!,21/7/23,21/8/2,complete,,
小林さんちのメイドラゴンS,21/7/27,21/11/2,complete,,
(2nd)けいおん！,21/7/27,21/8/10,complete,,
Fate/kaleid liner プリズマ☆イリヤ,21/7/31,,drop,2
這い寄れ！ニャル子さんW,21/8/1,21/11/27,complete,,
たまこまーけっと,21/8/2,21/8/10,complete,,
響け！ユーフォニアム,21/8/6,21/8/16,complete,,
たまこラブストーリー,21/8/11,21/8/12,complete,,
(2nd)けいおん！！,21/8/12,22/12/1,complete,,
きんいろモザイク,21/8/13,,suspend,1
BanG Dream!,21/8/14,,stop,2
響け！ユーフォニアム２,21/8/17,21/8/28,complete,,
転生したらスライムだった件 第2期 part2,21/8/20,21/9/24,complete,,
白い砂のアクアトープ,21/8/24,21/12/22,complete,,
リズと青い鳥,21/8/28,21/8/29,complete,,
うらみちおにいさん,21/8/30,,drop,1
探偵はもう、死んでいる,21/8/31,21/10/1,complete,,
Sonny boy,21/8/31,,suspend,6
平穏世代の韋駄天達,21/9/2,21/10/3,complete,,
かげきしょうじょ!!,21/9/6,21/10/3,complete,,
迷宮ブラックカンパニー,21/9/7,21/10/4,complete,,
ジャヒー様はくじけない！,21/9/8,21/11/10,stop,12
出会って5秒でバトル,21/9/8,21/10/6,complete,,
86,21/9/14,21/9/18,complete,,
HUNERxHUNTER,21/9/18,22/1/12,complete,,
プリンセス・プリンシパル Crown Handler 第二章,21/9/24,21/9/24,complete,,
マクロスF,21/9/27,,suspend,10
海賊王女,21/10/6,21/12/22,complete,,
竜とそばかすの姫,21/10/7,21/10/7,complete,,
プリンセス・プリンシパル Crown Handler 第二章,21/10/8,21/10/8,complete,,
ぼくたちのリメイク,21/10/8,21/10/15,complete,,
異世界食堂,21/10/16,,drop,1
ルパン三世 PART4,21/10/19,21/11/10,complete,,
世界最高の暗殺者、異世界貴族に転生する,21/10/27,21/12/30,complete,,
劇場版 ソードアート・オンライン -プログレッシブ- 星なき夜のアリア,21/10/31,21/10/31,complete,,
アイの歌声を聴かせて,21/10/31,21/10/31,complete,,
